Compressor_Level:5 Granularity:1216  Compression_Ratio:101.23016
Compressor_Level:6 Granularity:1216  Compression_Ratio:101.23222
Compressor_Level:7 Granularity:1216  Compression_Ratio:101.23222
Compressor_Level:8 Granularity:1216  Compression_Ratio:101.23222
Compressor_Level:9 Granularity:1216  Compression_Ratio:101.23222
Compressor_Level:0 Granularity:1280  Compression_Ratio:0.99611
Compressor_Level:1 Granularity:1280  Compression_Ratio:75.22569
Compressor_Level:2 Granularity:1280  Compression_Ratio:75.22910
Compressor_Level:3 Granularity:1280  Compression_Ratio:85.24691
Compressor_Level:4 Granularity:1280  Compression_Ratio:106.55044
Compressor_Level:5 Granularity:1280  Compression_Ratio:106.55386
Compressor_Level:6 Granularity:1280  Compression_Ratio:106.55499
Compressor_Level:7 Granularity:1280  Compression_Ratio:106.55499
Compressor_Level:8 Granularity:1280  Compression_Ratio:106.55499
Compressor_Level:9 Granularity:1280  Compression_Ratio:106.55499
Compressor_Level:0 Granularity:1344  Compression_Ratio:0.99629
Compressor_Level:1 Granularity:1344  Compression_Ratio:76.72970
Compressor_Level:2 Granularity:1344  Compression_Ratio:76.73383
Compressor_Level:3 Granularity:1344  Compression_Ratio:78.98665
Compressor_Level:4 Granularity:1344  Compression_Ratio:103.27910
Compressor_Level:5 Granularity:1344  Compression_Ratio:103.27910
Compressor_Level:6 Granularity:1344  Compression_Ratio:103.28123
Compressor_Level:7 Granularity:1344  Compression_Ratio:103.28123
Compressor_Level:8 Granularity:1344  Compression_Ratio:103.28123
Compressor_Level:9 Granularity:1344  Compression_Ratio:103.28123
Compressor_Level:0 Granularity:1408  Compression_Ratio:0.99646
Compressor_Level:1 Granularity:1408  Compression_Ratio:78.15024
Compressor_Level:2 Granularity:1408  Compression_Ratio:78.15514
Compressor_Level:3 Granularity:1408  Compression_Ratio:82.74327
Compressor_Level:4 Granularity:1408  Compression_Ratio:100.47123
Compressor_Level:5 Granularity:1408  Compression_Ratio:100.47123
Compressor_Level:6 Granularity:1408  Compression_Ratio:100.47326
Compressor_Level:7 Granularity:1408  Compression_Ratio:100.47326
Compressor_Level:8 Granularity:1408  Compression_Ratio:100.47326
Compressor_Level:9 Granularity:1408  Compression_Ratio:100.47326
Compressor_Level:0 Granularity:1472  Compression_Ratio:0.99661
Compressor_Level:1 Granularity:1472  Compression_Ratio:81.69848
Compressor_Level:2 Granularity:1472  Compression_Ratio:81.70383
Compressor_Level:3 Granularity:1472  Compression_Ratio:86.49673
Compressor_Level:4 Granularity:1472  Compression_Ratio:105.03291
Compressor_Level:5 Granularity:1472  Compression_Ratio:105.03291
Compressor_Level:6 Granularity:1472  Compression_Ratio:105.03513
Compressor_Level:7 Granularity:1472  Compression_Ratio:105.03513
Compressor_Level:8 Granularity:1472  Compression_Ratio:105.03513
